Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Mass
P77756,reviewed,QUEC_ECOLI,7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC),queC ybaX b0444 JW0434,Escherichia coli (strain K12),231,25514
P77795,reviewed,YDCT_ECOLI,Uncharacterized ABC transporter ATP-binding protein YdcT,ydcT b1441 JW1436,Escherichia coli (strain K12),337,37041
P78061,reviewed,PUUA_ECOLI,Gamma-glutamylputrescine synthetase PuuA (Gamma-Glu-Put synthetase) (EC 6.3.1.11) (Glutamate--putrescine ligase),puuA ycjK b1297 JW5201,Escherichia coli (strain K12),472,53177
Q06065,reviewed,ATOC_ECOLI,Regulatory protein AtoC (Acetoacetate metabolism regulatory protein) (DNA-binding transcriptional regulator AtoC) (Ornithine decarboxylase antizyme),atoC az b2220 JW2214,Escherichia coli (strain K12),461,52176
Q06067,reviewed,ATOS_ECOLI,Signal transduction histidine-protein kinase AtoS (EC 2.7.13.3),atoS b2219 JW2213,Escherichia coli (strain K12),608,67790
Q2EES3,reviewed,YOEF_ECOLI,Protein YoeF,yoeF b4538 JW5328,Escherichia coli (strain K12),118,12969
Q46802,reviewed,UACR_ECOLI,Putative uric acid sigma-54-dependent transcriptional regulator UacR (Uric acid regulator),uacR ygeV b2869 JW2837,Escherichia coli (strain K12),592,66096
Q46809,reviewed,YQEC_ECOLI,Uncharacterized protein YqeC,yqeC b2876 JW5464,Escherichia coli (strain K12),256,28103
Q46843,reviewed,YGHS_ECOLI,Uncharacterized ATP-binding protein YghS,yghS b2985 JW5491,Escherichia coli (strain K12),237,26347
Q46844,reviewed,YGHT_ECOLI,Uncharacterized ATP-binding protein YghT,yghT b2986 JW2954,Escherichia coli (strain K12),230,25356
Q46863,reviewed,YGIS_ECOLI,Probable deoxycholate-binding periplasmic protein YgiS,ygiS b3020 JW2988,Escherichia coli (strain K12),535,60694
Q46889,reviewed,OTNK_ECOLI,3-oxo-tetronate kinase (EC 2.7.1.217) (3-dehydrotetronate 4-kinase),otnK ygbK b2737 JW2707,Escherichia coli (strain K12),388,41339
Q46927,reviewed,TCDA_ECOLI,tRNA threonylcarbamoyladenosine dehydratase (EC 6.1.-.-) (t(6)A37 dehydratase),tcdA csdL ygdL b2812 JW2783,Escherichia coli (strain K12),268,28562
Q47537,reviewed,TAUA_ECOLI,Taurine-binding periplasmic protein (Sulfate starvation-induced protein 1) (SSI1),tauA ssiA yaiR b0365 JW0357,Escherichia coli (strain K12),320,34266
Q47538,reviewed,TAUB_ECOLI,Taurine import ATP-binding protein TauB (EC 7.6.2.7),tauB ssiB yaiQ b0366 JW0358,Escherichia coli (strain K12),255,28297
Q47539,reviewed,TAUC_ECOLI,Taurine transport system permease protein TauC,tauC ssiC yaiJ b0367 JW0359,Escherichia coli (strain K12),275,29812
Q47622,reviewed,SAPA_ECOLI,Probable ABC transporter periplasmic-binding protein SapA,sapA b1294 JW1287,Escherichia coli (strain K12),547,61565
Q59385,reviewed,COPA_ECOLI,Copper-exporting P-type ATPase (EC 7.2.2.8) (Copper-exporting P-type ATPase A) (Cu(+)-exporting ATPase) (Soluble copper chaperone CopA(Z)),copA atcU f834 ybaR b0484 JW0473,Escherichia coli (strain K12),834,87873
Q6BEX0,reviewed,YTFR_ECOLI,Galactofuranose transporter ATP-binding protein YtfR (EC 7.5.2.9),ytfR ytfS b4485 JW5752,Escherichia coli (strain K12),500,55260
